energy_code,climate_zone,surface_type,assembly_type,construction_name,ip name,si name,r value ip,r value si,is_duplicate,ip match,si match
ASHRAE_90_1_2007,2,Exterior_Window,Metal_Framing_CurtainWall,Typical Mtl Framed CW CZ2 U-0.7 SHGC-0.25 VT-0.28 |Typical Mtl Framed CW CZ2 U-3.33 SHGC-0.25 VT-0.28,Typical Mtl Framed CW CZ2 U-0.7 SHGC-0.25 VT-0.28 ,Typical Mtl Framed CW CZ2 U-3.33 SHGC-0.25 VT-0.28,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ2 U-0.56 SHGC-0.23 VT-0.25 |Mtl Framed CW CZ2 U-3.33 SHGC-0.23 VT-0.25,Mtl Framed CW CZ2 U-0.56 SHGC-0.23 VT-0.25 ,Mtl Framed CW CZ2 U-3.33 SHGC-0.23 VT-0.25,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ2 U-0.49 SHGC-0.2 VT-0.22 |Mtl Framed CW CZ2 U-2.5 SHGC-0.2 VT-0.22,Mtl Framed CW CZ2 U-0.49 SHGC-0.2 VT-0.22 ,Mtl Framed CW CZ2 U-2.5 SHGC-0.2 VT-0.22,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ2 U-0.42 SHGC-0.18 VT-0.2 |Mtl Framed CW CZ2 U-2.5 SHGC-0.18 VT-0.2,Mtl Framed CW CZ2 U-0.42 SHGC-0.18 VT-0.2 ,Mtl Framed CW CZ2 U-2.5 SHGC-0.18 VT-0.2,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Metal_Framing_CurtainWall,Mtl Framed CW CZ2 U-0.35 SHGC-0.15 VT-0.17 |Mtl Framed CW CZ2 U-2.0 SHGC-0.15 VT-0.17,Mtl Framed CW CZ2 U-0.35 SHGC-0.15 VT-0.17 ,Mtl Framed CW CZ2 U-2.0 SHGC-0.15 VT-0.17,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Non-Metal_Framing,Typical Non Mtl Framed CZ2 U-0.75 SHGC-0.25 VT-0.28 |Typical Non Mtl Framed CZ2 U-5.0 SHGC-0.25 VT-0.28,Typical Non Mtl Framed CZ2 U-0.75 SHGC-0.25 VT-0.28 ,Typical Non Mtl Framed CZ2 U-5.0 SHGC-0.25 VT-0.28,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ2 U-0.6 SHGC-0.23 VT-0.25 |Non Mtl Framed CZ2 U-3.33 SHGC-0.23 VT-0.25,Non Mtl Framed CZ2 U-0.6 SHGC-0.23 VT-0.25 ,Non Mtl Framed CZ2 U-3.33 SHGC-0.23 VT-0.25,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ2 U-0.52 SHGC-0.2 VT-0.22 |Non Mtl Framed CZ2 U-3.33 SHGC-0.2 VT-0.22,Non Mtl Framed CZ2 U-0.52 SHGC-0.2 VT-0.22 ,Non Mtl Framed CZ2 U-3.33 SHGC-0.2 VT-0.22,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ2 U-0.45 SHGC-0.18 VT-0.2 |Non Mtl Framed CZ2 U-2.5 SHGC-0.18 VT-0.2,Non Mtl Framed CZ2 U-0.45 SHGC-0.18 VT-0.2 ,Non Mtl Framed CZ2 U-2.5 SHGC-0.18 VT-0.2,NaN,NaN,false
ASHRAE_90_1_2007,2,Exterior_Window,Non-Metal_Framing,Non Mtl Framed CZ2 U-0.38 SHGC-0.15 VT-0.17 |Non Mtl Framed CZ2 U-2.0 SHGC-0.15 VT-0.17,Non Mtl Framed CZ2 U-0.38 SHGC-0.15 VT-0.17 ,Non Mtl Framed CZ2 U-2.0 SHGC-0.15 VT-0.17,NaN,NaN,false
ASHRAE_90_1_2007,2,Interior_Walls,"",Typical Interior Wall,true
ASHRAE_90_1_2007,2,Floors,"",Typical Interior Wall,true
ASHRAE_90_1_2007,3,Roof,Attic_and_Other,Attic & Other Roof CZ3 R-47 |Attic & Other Roof CZ3 R-8.3,Attic & Other Roof CZ3 R-47 ,Attic & Other Roof CZ3 R-8.3,47,8.3,false,true,true
ASHRAE_90_1_2007,3,Roof,Attic_and_Other,Attic & Other Roof CZ3 R-52 |Attic & Other Roof CZ3 R-9.2,Attic & Other Roof CZ3 R-52 ,Attic & Other Roof CZ3 R-9.2,52,9.2,false,true,true
ASHRAE_90_1_2007,3,Roof,Attic_and_Other,Attic & Other Roof CZ3 R-57 |Attic & Other Roof CZ3 R-10.0,Attic & Other Roof CZ3 R-57 ,Attic & Other Roof CZ3 R-10.0,57,10.0,false,true,true
ASHRAE_90_1_2007,3,Roof,Attic_and_Other,Attic & Other Roof CZ3 R-62 |Attic & Other Roof CZ3 R-10.9,Attic & Other Roof CZ3 R-62 ,Attic & Other Roof CZ3 R-10.9,62,10.9,false,true,true
ASHRAE_90_1_2007,3,Roof,IEAD,IEAD Roof CZ3 R-31 |IEAD Roof CZ3 R-5.4,IEAD Roof CZ3 R-31 ,IEAD Roof CZ3 R-5.4,31,5.4,false,true,true
ASHRAE_90_1_2007,3,Roof,IEAD,IEAD Roof CZ3 R-36 |IEAD Roof CZ3 R-6.3,IEAD Roof CZ3 R-36 ,IEAD Roof CZ3 R-6.3,36,6.3,false,true,true
ASHRAE_90_1_2007,3,Roof,IEAD,IEAD Roof CZ3 R-41 |IEAD Roof CZ3 R-7.2,IEAD Roof CZ3 R-41 ,IEAD Roof CZ3 R-7.2,41,7.2,false,true,true
ASHRAE_90_1_2007,3,Roof,IEAD,IEAD Roof CZ3 R-46 |IEAD Roof CZ3 R-8.1,IEAD Roof CZ3 R-46 ,IEAD Roof CZ3 R-8.1,46,8.1,false,true,true
ASHRAE_90_1_2007,3,Roof,Metal_Building,Metal Roof CZ3 R-25 |Metal Roof CZ3 R-4.5,Metal Roof CZ3 R-25 ,Metal Roof CZ3 R-4.5,25,4.5,false,true,true
